Company,Domain,Total Employees,US Employees,Non-US Employees,Non-US Breakdown
JY Consultancy and Ventures,jonathanyabut.com,1,0,1,Metro Manila: 1
Milaha,milaha.com,1,0,1,Qatar: 1
Lovable,lovable.dev,2,1,1,Sweden: 1
SMG-Imagen Laboral,smgimagen.com.co,1,0,1,Colombia: 1
Teqfocus,teqfocus.com,1,0,1,India: 1
Lodha,lodhagroup.com,1,0,1,India: 1
NASPS Technology & Innovation,nasps.org.eg,1,0,1,Egypt: 1
Arjo,arjo.com,1,0,1,Dominican Republic: 1
First People Consulting,firstpeopleconsulting.com,1,0,1,Peru: 1
"St. Xavier's College (Autonomous), Kolkata",sxccal.edu,1,0,1,India: 1
Institut IRLES,irles-aquitaine.fr,1,0,1,France: 1
Contajá Contabilidade Online,contaja.com.br,1,0,1,Brazil: 1
The People Branding Company,thepeoplebrandingcompany.com,1,0,1,Germany: 1
Ali Abdaal Ltd,aliabdaal.com,1,0,1,United Kingdom: 1
NeetCode,neetcode.io,1,0,1,Greater Seattle Area: 1
EDITIONS DAUVERS,olivierdauvers.fr,1,0,1,France: 1
Smashing Media AG,smashingmagazine.com,1,0,1,Germany: 1
Bon Pote,bonpote.com,1,0,1,France: 1
NWO (Dutch Research Council),nwo.nl,1,0,1,Netherlands: 1
CMMM Sociedade de Advogados,cmmm.com.br,1,0,1,Brazil: 1
Rethink Systems,rethinksystems.in,1,0,1,India: 1
Grupo Bernardo da Costa,bernardodacosta.pt,1,0,1,Portugal: 1
Elumini Outdoing IT,elumini-it.com,1,0,1,Brazil: 1
Oriental Weavers,orientalweavers.com,1,0,1,Egypt: 1
techUK,techuk.org,1,0,1,United Kingdom: 1
Heights,heights.com,1,0,1,United Kingdom: 1
Governo do Estado de Minas Gerais,www.mg.gov.br,1,0,1,Brazil: 1
Hamza Bhatti Productions,hamzabhatti.pk,1,0,1,United Arab Emirates: 1
El Billetazo News,elbilletazo.com,1,0,1,Mexico: 1
Bdjobs.com,bdjobs.com,1,0,1,Bangladesh: 1
Educosys,educosys.com,1,0,1,India: 1
iD Fresh Food,idfreshfood.com,1,0,1,India: 1
MTD Training,mtdtraining.com,1,0,1,United Kingdom: 1
malomatia,malomatia.com,1,0,1,Egypt: 1
Escorts Kubota Limited,escortskubota.com,1,0,1,India: 1
TP,tp.com,1,0,1,United Kingdom: 1
SCAN,thescangroup.org,1,0,1,Los Angeles Metropolitan Area: 1
Nagad,nagad.com.bd,1,0,1,Bangladesh: 1
World Economic Forum,weforum.org,1,0,1,Brazil: 1
RichardvanderBlom.com,richardvanderblom.com,1,0,1,Spain: 1
Team Positive Inc.,chinkeetan.com,1,0,1,Philippines: 1
Bada Business Pvt. Ltd.,badabusiness.com,1,0,1,India: 1
Dift,dift.com,1,0,1,France: 1
Knowledge Share,lifeattinder.com,1,0,1,United Kingdom: 1
Bpifrance,bpifrance.fr,1,0,1,France: 1
roompass,roompass.app,1,0,1,Spain: 1
TechWorld with Nana,techworld-with-nana.com,1,0,1,Austria: 1
KEYNOTE SPEAKER:  MANAGEMENT,hbrfrance.fr,1,0,1,France: 1
5C Company LLC,5ccompany.com,1,0,1,Brazil: 1
University of Toronto School of Continuing Studies,utoronto.ca,1,0,1,Canada: 1
Desmarketize-se,desmarketizese.com.br,1,0,1,Brazil: 1
Skilldify,skilldify.com,1,0,1,India: 1
Career Coach  Cel. +52 9999 928143. Servicios en Línea,gabrielaespinosa.com,1,0,1,Mexico: 1
High Performance,thehighperformancepodcast.com,1,0,1,United Kingdom: 1
Ultraproductive,ultraproductive.com,1,0,1,United Kingdom: 1
Road to Logistics,roadtologistics.org,1,0,1,United Kingdom: 1
Alcott Global,alcottglobal.com,1,0,1,Singapore: 1
Dubizzle Group,dubizzlegroup.com,1,0,1,Pakistan: 1
Astroten,astroten.co.uk,1,0,1,United Kingdom: 1
TripShift,tripshift.eco,1,0,1,United Kingdom: 1
Airavat: The Ultimate Aviator Club,jet365.com,1,0,1,United Kingdom: 1
Huntrs,hunt.rs,1,0,1,Sweden: 1
IncrementumX,incrementumx.com,1,0,1,India: 1
Pareekh Consulting,eiirtrend.com,1,0,1,India: 1
CORELIA,corelia.ai,1,0,1,Riyadh Region: 1
Malaysian Investment Development Authority,bam.org.my,1,0,1,Malaysia: 1
Trex Energy,trexenergy.in,1,0,1,India: 1
meilleursjobs,meilleursjobs.com,1,0,1,France: 1
Job Direto,jobdireto.com.br,1,0,1,Brazil: 1
Eeagli,eeagli.com,1,0,1,Switzerland: 1
Positivity ,positivity.org,1,0,1,United Arab Emirates: 1
Mackenzie Jones Middle East,mackenziejones.com,1,0,1,United Arab Emirates: 1
Delta Cafés,deltacafes.com,1,0,1,Portugal: 1
Softtek,softtek.com,1,0,1,Mexico: 1
Eduquity,eduquity.com,1,0,1,India: 1
Excel Basement,excelbasement.org,1,0,1,Pakistan: 1
Arkas Holding,arkas.com.tr,1,0,1,Greater Istanbul: 1
CIELEC,cielec.ma,1,0,1,Morocco: 1
illycaffè,illy.com,1,0,1,Italy: 1
Technogym,technogym.com,1,0,1,Italy: 1
Starling,starlingbank.com,1,0,1,United Kingdom: 1
Newton Engineering,nexxworks.com,1,0,1,Belgium: 1
The Management School,mylearnworlds.com,1,0,1,France: 1
self employed,emergingmarkets.today,1,0,1,Sweden: 1
SysMap Solutions,sysmap.com.br,1,0,1,Brazil: 1
World Trade Organization,wto.org,1,0,1,Switzerland: 1
Lattech,lattech.com.pk,1,0,1,Pakistan: 1
Jay Mount Consulting,jaymount.me,1,0,1,Canada: 1
Emerald Trading Enterprises LLC,emetuae.com,1,0,1,United Arab Emirates: 1
Cogent Labs,cogentlabs.co,1,0,1,Pakistan: 1
Triune Energy Services Pvt. Ltd.,triunengineering.com,1,0,1,India: 1
Open Minds Media,looping.group,1,0,1,Germany: 1
Wavicle Data Solutions,wavicledata.com,1,0,1,India: 1
Coopérative U,u-emploi.com,1,0,1,France: 1
AECOM,aecom.com,1,0,1,الرياض السعودية: 1
ALEXBANK,alexbank.com,1,0,1,Egypt: 1
IKEA Foundation,ikeafoundation.org,1,0,1,Sweden: 1
ONEGTMLAB,onegtmlab.com,1,0,1,India: 1
Ministry of Industry and Trade - Morocco,mcinet.gov.ma,1,0,1,Morocco: 1
The Pragmatic Engineer,pragmaticengineer.com,1,0,1,Netherlands: 1
Target,target.com,1,0,1,India: 1
Institut des Solutions,institut-des-solutions.com,1,0,1,France: 1
Social Selling Consulting,socialsellingconsulting.com,1,0,1,Spain: 1
Strathmore University,strathmore.edu,1,0,1,Kenya: 1
Alphabridge,alphabridgeconsulting.com,1,0,1,Pakistan: 1
Favikon,favikon.com,1,0,1,Colombia: 1
FEMSA,femsa.com,1,0,1,Mexico: 1
Career Stories,career-stories.com,1,0,1,Canada: 1
Bose Fellowship,bosefellowship.org,1,0,1,India: 1
PRODENSA,prodensa.com,1,0,1,Mexico: 1
Sicredi,sicredi.com.br,1,0,1,Brazil: 1
Danone,danone.com,1,0,1,Mexico: 1
Código Fonte TV,codigofonte.tv,1,0,1,Brazil: 1
Everything Culture,everythingculture.in,1,0,1,India: 1
Linthority,linthority.com,1,0,1,Germany: 1
NDTV,ndtv.com,1,0,1,India: 1
Kantox,kantox.com,1,0,1,Spain: 1
AXA,axa.com,1,0,1,France: 1
Marketing Mindset,ahmedhatemeldib.com,1,0,1,القاهرة مصر: 1
Malakoff Humanis,malakoffhumanis.com,1,0,1,France: 1
OPPO Indonesia,oppo.com,1,0,1,Indonesia: 1
Yalla Dawam - يلا دوام,yalladawam.com,1,0,1,Kuwait: 1
Accenture DACH,accenture.de,1,0,1,Germany: 1
Reino IA,reinoia.com,1,0,1,France: 1
Freistaat Bayern,bayern.de,1,0,1,Germany: 1
TOTVS,totvs.com,1,0,1,Brazil: 1
Klowt,klowt.com,1,0,1,United Kingdom: 1
Vancouver Whitecaps FC,whitecapsfc.com,1,0,1,Germany: 1
Stade Toulousain Rugby,stadetoulousain.fr,1,0,1,France: 1
Indo Gulf Capital Alliance,indogulf.capital,1,0,1,United Arab Emirates: 1
Petit Centre Groupe Educatif,petitcentre.com,1,0,1,Mauritania: 1
Sault Area Hospital,sah.on.ca,1,0,1,Canada: 1
Authentic Influence Ventures,niharikasodhi.com,1,0,1,India: 1
CareerScope Plus,fadiahmad.com,1,0,1,Jordan: 1
NamasteSQL,namastesql.com,1,0,1,India: 1
20VC,thetwentyminutevc.com,1,0,1,United Kingdom: 1
Eva Interiors,evainteriors.ae,1,0,1,United Arab Emirates: 1
Cairo 3A Group,cairothreea.com,1,0,1,Egypt: 1
Futuro en Construcción,fondationforge.org,1,0,1,Argentina: 1
Provincie Zeeland,zeeland.nl,1,0,1,Netherlands: 1
Raya Financing Company,rayafinancing.com,1,0,1,Saudi Arabia: 1
Reebok,reebok.com,1,0,1,Atlanta Metropolitan Area: 1
MADKOUR,madkour.com.eg,1,0,1,Egypt: 1
Enmac Danışmanlık,enmac.com.tr,1,0,1,Türkiye: 1
INTRA-LOG Expo South America,intralogexpo.com.br,1,0,1,Brazil: 1
Contrails AI,contrails.ai,1,0,1,India: 1
Vantage Cleaning Solutions,vcsonsite.com.au,1,0,1,Australia: 1
Ducix Educação Corporativa,richardheiras.com.br,1,0,1,Brazil: 1
MindQuad Solutions,mindquad.com,1,0,1,India: 1
Edu91,edu91.org,1,0,1,India: 1
Splunk,splunk.com,2,1,1,India: 1
Greenhouse,greenhouse.tech,1,0,1,Australia: 1
Chinese Academy of Engineering (CAE),amacad.org,1,0,1,China: 1
Centerview Partners,centerviewpartners.com,1,0,1,Washington DC-Baltimore Area: 1
Jobmaze FZ LLC,jobmaze.ae,1,0,1,United Arab Emirates: 1
Axios,axios.com,1,0,1,Greater Boston: 1
PT. HASNUR RIUNG SINERGI,hasnurriungsinergi.co.id,1,0,1,Indonesia: 1
Respire,respire.co,1,0,1,France: 1
Luxury Properties Hub,luxurypropertieshub.com,1,0,1,United Arab Emirates: 1
OMR,omr.com,1,0,1,Hamburg und Umgebung: 1
LWSA,lwsa.tech,1,0,1,Brazil: 1
Mariwala Health Initiative,mhi.org.in,1,0,1,India: 1
Sarl CVA Bellat,bellat.net,1,0,1,Algeria: 1
Humanagement,vipconsulting.biz,1,0,1,Argentina: 1
Daily Dose of Data Science,dailydoseofds.com,1,0,1,India: 1
Alexa Capital,alexa-capital.com,1,0,1,Germany: 1
HDTC Training,hdtc-ksa.com,1,0,1,Saudi Arabia: 1
ECP Consultancy Partners  (LTD.),ecp-co.net,1,0,1,Saudi Arabia: 1
Ben Hamouda Consulting,benhamouda-consulting.com,1,0,1,Tunisia: 1
Vislo AI,vislo.ai,1,0,1,United Kingdom: 1
ProPeers,propeers.in,1,0,1,India: 1
HumanAZ :: Conectando Propósitos,humanaz.com.br,1,0,1,Brazil: 1
AURA Beauty,aurabeautyclub.com.br,1,0,1,Brasil: 1
Cesra International,cesra.com,1,0,1,Germany: 1
Edmund Hillary Fellowship (EHF),ehf.org,1,0,1,China: 1
SIMPLIFICA TREINAMENTOS,simplificaedu.com.br,1,0,1,Brazil: 1
SeerSolutionz,seersolutionz.com,1,0,1,United Arab Emirates: 1
HR BROKER - The Premium HR Index,hrbroker.it,1,0,1,Italy: 1
L'Institut International de Gestion Stratégique et Financière (IIGSF),teachizy.fr,1,0,1,France: 1
Études - Revue de culture contemporaine,revue-etudes.com,1,0,1,Greater Paris Metropolitan Region: 1
GOVERNMENT OF MALAYSIA,malaysia.gov.my,1,0,1,Malaysia: 1
Lopes LARA,lopeslara.com.br,1,0,1,Brazil: 1
Dabur India Limited,dabur.com,1,0,1,India: 1
Codilar Technologies,codilar.com,1,0,1,India: 1
A.P. Moller - Maersk,maersk.com,1,0,1,Denmark: 1
LectureHead,lecturehead.com,1,0,1,India: 1
FinShiksha,finshiksha.com,1,0,1,India: 1
Martell Ventures,danmartell.com,1,0,1,Canada: 1
CarDekho Group,cardekho.com,1,0,1,India: 1
MosDecor,mosdecor.dk,1,0,1,Denmark: 1
Wiley,wiley.com,2,1,1,Canada: 1
Federal University of Rio Grande do Sul,ufrgs.br,1,0,1,Brazil: 1
V3 Ventures,v3.ventures,1,0,1,India: 1
Mandai Wildlife Group,mandai.com,1,0,1,Singapore: 1
Satyarthi Movement for Global Compassion,satyarthimovement.org,1,0,1,India: 1
Rayklaassens.com,rayklaassens.com,1,0,1,Netherlands: 1
Commonwealth Bank,commbank.com.au,1,0,1,India: 1
Rand Mutual - RMA,randmutual.co.za,1,0,1,South Africa: 1
ada Academy,join-ada.com,1,0,1,Germany: 1
The D. E. Shaw Group,deshaw.com,1,0,1,India: 1
Yunus Centre,yunuscentre.org,1,0,1,Bangladesh: 1
Dr Gemma Leigh Roberts,gemmaleighroberts.com,1,0,1,United Kingdom: 1
Educa Por Rossandro Klinjey,sejaeduca.com.br,1,0,1,Brazil: 1
PIC Group ,anne-sophie-pic.com,1,0,1,France: 1
Asteroid Technologies,asteroidtechs.com,1,0,1,Argentina: 1
Ministry Of Foreign Trade,moft.gov.ae,1,0,1,United Arab Emirates: 1
Lead Ventures,leadventures.ae,1,0,1,United Arab Emirates: 1
S3 Global HC,s3globalhc.com,1,0,1,India: 1
Thoughtworks,thoughtworks.com,2,1,1,Brazil: 1
Teachndo,teachndo.com,1,0,1,Canada: 1
Marti Technologies (NYSE: MRT),marti.tech,1,0,1,Türkiye: 1
Master Works,master-works.sa,1,0,1,Saudi Arabia: 1
LeapSofts,leapsofts.com,1,0,1,Pakistan: 1
Invact Metaversity,invact.com,1,0,1,India: 1
Amigoscode,amigoscode.com,1,0,1,United Kingdom: 1
PNUD Brasil,undp.org,2,1,1,Brazil: 1
Contact,contact.so,1,0,1,United Kingdom: 1
Godrej Agrovet Limited,godrejagrovet.com,1,0,1,India: 1
Growitrapid,growitrapid.com,1,0,1,India: 1
Elevare International,aunaturelorganicoil.com,1,0,1,Pakistan: 1
Media NV,medianv.com,1,0,1,India: 1
"Birla Institute of Technology and Science, Pilani",ias.ac.in,1,0,1,India: 1
SOHO Global Health,sohoglobalhealth.com,1,0,1,Indonesia: 1
StoryNext,storynext.com.br,1,0,1,Brazil: 1
Saudi Egyptian Developers,se-developers.com,1,0,1,Saudi Arabia: 1
Endeavor Argentina,endeavor.org.ar,1,0,1,Argentina: 1
Ali & Kumail Associates,alikumail.com,1,0,1,Pakistan: 1
بنك البلاد | Bank Albilad,bankalbilad.com.sa,1,0,1,Egypt: 1
UR.Life,ur.life,1,0,1,India: 1
JBS,jbs.com.br,1,0,1,Brazil: 1
Otomeyt AI,otomeyt.ai,1,0,1,India: 1
JIC Holdings,jicholdings.com,1,0,1,Gibraltar: 1
CyberNest,cybernest.com,1,0,1,Pakistan: 1
SwirlAI,swirlai.com,1,0,1,Lithuania: 1
Funes Consulting Group,funesconsultinggroup.com,1,0,1,Mexico: 1
Aalborg University,aau.dk,1,0,1,Denmark: 1
Driven Properties,drivenproperties.com,1,0,1,United Arab Emirates: 1
Grantrow Middle East,grantrow.ae,1,0,1,Morocco: 1
Why Has Nobody Told Me This Before? & Open When..,doctorjuliesmith.com,1,0,1,United Kingdom: 1
Gym Passport,gympassport.pk,1,0,1,Pakistan: 1
Adaptive Joinery,adaptivejoinery.com.au,1,0,1,Australia: 1
inMorphis,inmorphis.com,1,0,1,India: 1
Arab Information Management Services (AIMS),aims-kw.com,1,0,1,Kuwait: 1
Mr. Supply Chain,danielstanton.com,1,0,1,Charlotte Metro: 1
Optivity Now,optivitynow.com,1,0,1,Nigeria: 1
24 CRAFTS LLC,24craftsme.com,1,0,1,United Arab Emirates: 1
ASTRA Infra,astrainfra.co.id,1,0,1,Indonesia: 1
Tevo (Pty) Ltd,tevo.co.za,1,0,1,South Africa: 1
LOptimisme.pro,loptimisme.pro,1,0,1,France: 1
NEU DENKEN mit Maja Göpel,mission-wertvoll.org,1,0,1,Germany: 1
MAX ATACADISTA,maxatacadista.com.br,1,0,1,Brazil: 1
REDCON Construction Co. S.A.E,redconcon.com,1,0,1,Egypt: 1
Groupe SNCF,groupe-sncf.com,1,0,1,France: 1
BePartners,bepartners.com.ar,1,0,1,Argentina: 1
Franuí,franui.store,1,0,1,Argentina: 1
Mercedes-Benz India,mercedes-benz.co.in,1,0,1,India: 1
FairMoove,fairmoove.fr,1,0,1,France: 1
The Circular Economist,circulareconomist.org,1,0,1,Sweden: 1
Ducati Motor Holding,ducat.it,1,0,1,Italy: 1
Workforce Ireland,workforceireland.ie,1,0,1,Ireland: 1
Elevate Executive Edge,carmenzalarcon.com,1,0,1,Colombia: 1
Fort Knox,fortknox.com.br,1,0,1,Brazil: 1
Technevity Inc.,technevity.com,1,0,1,Pakistan: 1
Mistral AI,mistral.ai,1,0,1,France: 1
The King's Trust International,kingstrustinternational.org,1,0,1,Tanzania: 1
Gul Ahmed Energy Group,gaenergy.com,1,0,1,Pakistan: 1
BeDream,fazinova.com.br,1,0,1,Brasil: 1
Kingston Stanley Executive Search & Advisory,kingstonstanley.com,1,0,1,United Arab Emirates: 1
Codeverse IT Private Limited,codeverseit.in,1,0,1,India: 1
Exicom,exicom.com,1,0,1,India: 1
L.E.K. Consulting,lek.com,1,0,1,India: 1
Milky Mist Dairy,milkymist.com,1,0,1,India: 1
Uniwersytet WSB Merito Warszawa,merito.pl,1,0,1,Polska: 1
Sesame Events,sesame-events.com,1,0,1,France: 1
ZEAM,zeam.xyz,1,0,1,Switzerland: 1
الرواف للمقاولات Alrawaf Contracting,alrawaf.com.sa,1,0,1,Saudi Arabia: 1
Alkobraish Investment & Construction Company,kobraish.com.sa,1,0,1,Saudi Arabia: 1
Aim2Learn Ltd,aim2learn.org,1,0,1,United Kingdom: 1
Al Aan TV,alaan.tv,1,0,1,United Arab Emirates: 1
Rodic Consultants Private Limited,rodicconsultants.com,1,0,1,India: 1
DARE | Brand Factory,madebydare.com,1,0,1,Switzerland: 1
1st4careers,pnet.co.za,1,0,1,South Africa: 1
Creator of New Beginnings,nazaninbigdeli.com,1,0,1,Netherlands: 1
Guru TechnoLabs,gurutechnolabs.com,1,0,1,India: 1
CodeVibez,codevibez.com,1,0,1,India: 1
The HoLT,the-holt.com,1,0,1,United Kingdom: 1
CEFA Early Learning,cefa.ca,1,0,1,Canada: 1
Chandaria Industries,chandaria.com,1,0,1,Kenya: 1
Nike,nike.com,2,1,1,India: 1
MBA Compass,mymbacompass.com,1,0,1,India: 1
Ligne RENFORT,ligne-renfort.org,1,0,1,Canada: 1
KPMG,kpmg.com,1,0,1,Qatar: 1
Daniel Disney - Speaker/Trainer/Author,danieldisney.net,1,0,1,United Kingdom: 1
Mensa Brands,brndme.co.in,1,0,1,India: 1
World Meteorological Organization,wmo.int,1,0,1,Switzerland: 1
Coolblue,coolblue.nl,1,0,1,Netherlands: 1
WCL21,andreapetrone.com,1,0,1,United Kingdom: 1
USEFLOW,useflow.tech,1,0,1,Portugal: 1
Institut de l'Engagement,engagement.fr,1,0,1,France: 1
CODE CORNERS ITSOLUTIONS PRIVATE LIMITED,codecorners.com,1,0,1,India: 1
Falconi,falconi.com,1,0,1,Brazil: 1
Colombina,colombina.com,1,0,1,Colombia: 1
Grupo Trhoca,grupotrhoca.com,1,0,1,Brazil: 1
Tabbio,tabbio.com,1,0,1,أبو ظبي الإمارات العربية المتحدة: 1
Maklu Initiative,makluinitiative.com,1,0,1,Ireland: 1
Somos Metamorfosis,metamorfosisar.com,1,0,1,Argentina: 1
OCloud Solutions,ocloudsolutions.net,1,0,1,Pakistan: 1
Brainmates,brainmates.com.au,1,0,1,Australia: 1
Accor,accor.com,1,0,1,France: 1
Riot Games,riotgames.com,1,0,1,Brazil: 1
Presentations.AI,presentations.ai,1,0,1,India: 1
National Bank of Pakistan,nbp.com.pk,1,0,1,Pakistan: 1
iEnergizer,ienergizerbpo.com,1,0,1,India: 1
Prophecy,prophecy.ai,1,0,1,India: 1
Career Leadhers,careerleadhers.com,1,0,1,Italy: 1
SIANTY,sianty.com,1,0,1,Pakistan: 1
creAItify,creaitify.ca,1,0,1,Canada: 1
SPEC INDIA,spec-india.com,1,0,1,India: 1
Myntra,myntra.com,1,0,1,India: 1
Performability Recruitment (Pty) Ltd,performability.co.za,1,0,1,South Africa: 1
Kogan.com,kogan.com,1,0,1,Australia: 1
Portas,weareportas.com,1,0,1,United Kingdom: 1
AutoDinero,autodinero.com.mx,1,0,1,Mexico: 1
Imtiaz,imtiaz.com.pk,1,0,1,Pakistan: 1
FBNF - Faculdade Brasileira de Negócios e Finanças,fbnf.edu.br,1,0,1,Brazil: 1
Northwestern University,northwestern.edu,1,0,1,中国 北京市 朝阳区: 1
INFINITE DREAMS HR CONSULTANTS,dreamshrconsultants.in,1,0,1,India: 1
SQUAD Sports,squadsm.com,1,0,1,United Kingdom: 1
L&C Recruitment,lc-recruitment.com,1,0,1,United Arab Emirates: 1
新经济100人,newtop100.com,1,0,1,China: 1
Petromin Corporation,petromin.com,1,0,1,Egypt: 1
Finology Ventures Pvt. Ltd.,finology.in,1,0,1,India: 1
PT Timas Suplindo,timas.com,1,0,1,Indonesia: 1
Trans Mall Group part of CT Corpora,transshoppingmall.com,1,0,1,Indonesia: 1
YF Talent Partners,yftalentpartners.com,1,0,1,Nigeria: 1
SusNex Ltd,susnex.com,1,0,1,Bangladesh: 1
Quave ONE,quave.one,1,0,1,Brazil: 1
Tata Capital,tatacapital.com,1,0,1,India: 1
الماجدية | Almajdiah,almajdiah.com,1,0,1,Saudi Arabia: 1
Banco Bradesco,banco.bradesco,1,0,1,Brazil: 1
Flora Insights,florainsights.com.br,1,0,1,Brazil: 1
TechSmartHire,techsmarthire.com,1,0,1,India: 1
Fox Brothers & Co Ltd,foxflannel.com,1,0,1,United Kingdom: 1
DigiMantra,digimantra.com,1,0,1,India: 1
EPIX Sports,epix-sports.com,1,0,1,Germany: 1
Cyberman AI,cyberman.ai,1,0,1,Bangladesh: 1
Ocyan,ocyan-sa.com,1,0,1,Brazil: 1
Power Grid Corporation Of India Limited (Powergrid),powergrid.in,1,0,1,India: 1
CodeTwo,codetwo.com,1,0,1,Poland: 1
Nextool,nextool.ai,1,0,1,Azerbaijan: 1
Autviz Solutions,autviz.com,1,0,1,India: 1
AB InBev,ab-inbev.com,2,1,1,Mexico: 1
Chris Croft Training Limited,chriscrofttraining.co.uk,1,0,1,United Kingdom: 1
Gainwell Engineering,gainwellengineering.com,1,0,1,India: 1
Academia RH+,academiarhmais.com.br,1,0,1,Brazil: 1
GineersNow,gineersnow.com,1,0,1,United Arab Emirates: 1
NATIONAL REAL ESTATE DEVELOPMENT COUNCIL (NAREDCO),naredco.in,1,0,1,India: 1
DMB Sustainable Energy Solutions Ltd,gpfigroup.com,1,0,1,Nigeria: 1
Brantial,brantial.ai,1,0,1,Türkiye: 1
ISAI,isai.fr,1,0,1,France: 1
ARD,ard.de,1,0,1,Germany: 1
HR Leaders,hrleaders.co,1,0,1,United Kingdom: 1
Alexforbes,alexforbes.com,1,0,1,South Africa: 1
Retail Prophet,retailprophet.com,1,0,1,Canada: 1
madircom,madircom.com,1,0,1,France: 1
Agile Experts,agileexperts.at,1,0,1,Austria: 1
Karuna-Shechen,karuna-shechen.org,1,0,1,Nepal: 1
A.T.C.E. Al Tala Companies Enterprise / A.T.C.E. Al Tala General Contracting Est.,altalacompanies.com,1,0,1,Egypt: 1
Strawberry Group,strawberrygroup.no,1,0,1,Norway: 1
JSW Steel,jsw.in,1,0,1,India: 1
CHU de Lille,chu-lille.fr,1,0,1,France: 1
Codebasics,codebasics.io,2,1,1,India: 1
Gro Intelligence,gro-intelligence.com,1,0,1,New York City Metropolitan Area: 1
Votre Tour du Monde,votretourdumonde.com,1,0,1,France: 1
InPBE (Instituto de Psicologia Baseada em Evidências),inpbe.com,1,0,1,Brazil: 1
Trends & Friends,trendsandfriends.net,1,0,1,Türkiye: 1
Universidad de Chile,uchile.cl,1,0,1,Chile: 1
Ministry of Municipalities and Housing,momrah.gov.sa,1,0,1,Saudi Arabia: 1
Jibble,jibble.io,1,0,1,United Kingdom: 1
Venturino,ricardoventurino.com.ar,1,0,1,Argentina: 1
AlgoMaster.io,algomaster.io,1,0,1,India: 1
Revista Oeste,revistaoeste.com,1,0,1,Brazil: 1
African Continental Free Trade Area (AfCFTA) Secretariat,au-afcfta.org,1,0,1,Ghana: 1
Manras Technologies,manras.com,1,0,1,India: 1
Crowdwisdom360,crowdwisdom.live,1,0,1,India: 1
Zydus Group,zyduslife.com,1,0,1,India: 1
Poppins,go.link,1,0,1,France: 1
Ogilvy UK,ogilvy.com,1,0,1,United Kingdom: 1
TOC The Onaran Company GmbH,tijen-onaran.de,1,0,1,Germany: 1
Dertien11,adriaan-dekker.nl,1,0,1,Netherlands: 1
Marks and Spencer,marksandspencer.com,1,0,1,United Kingdom: 1
Eva Porto,evaporto.com,1,0,1,Spain: 1
Grupo Otimiza,grupootimiza.com.br,1,0,1,Brazil: 1
Audi Denmark,audi.dk,1,0,1,Denmark: 1
Presidência da República,presidenciadarepublica.gov.br,1,0,1,Brazil: 1
Siana Capital,sianacapital.com,1,0,1,India: 1
C-Serv,c-serv.com,1,0,1,United Kingdom: 1
Wilbe,wilbe.com,1,0,1,France: 1
Bombay Shaving Company,bombayshavingcompany.com,1,0,1,India: 1
High Leverage Labs,shreyasdoshi.com,1,0,1,San Francisco Bay Area: 1
Soudah Development,soudah.sa,1,0,1,Saudi Arabia: 1
ARTUS INTERIM & SOLUTIONS RH MAROC,artus-maroc.ma,1,0,1,Morocco: 1
Federale regering,antwerpen.be,1,0,1,Belgium: 1
Curly Tales,curlytales.com,1,0,1,India: 1
StartupMexico,startupmexico.com,1,0,1,Mexico: 1
Gasol16 Ventures,gasol16ventures.com,1,0,1,Spain: 1
Stellantis Performance Academy,mycontentscout.ai,1,0,1,United Kingdom: 1
Fabiana Andreani,fabianaandreani.it,1,0,1,Italy: 1
ANTARES PLÁSTICOS,antaresplasticos.com.br,1,0,1,Brazil: 1
Tech Solutions.ae,techsolutions.ae,1,0,1,Pakistan: 1
Egypt Post,egyptpost.org,1,0,1,Egypt: 1
ART IT - Intelligent Technology,artit.com.br,1,0,1,Brazil: 1
D. A. Carlin and Company,dacarlin.com,1,0,1,United Kingdom: 1
AirAsia,airasia.com,1,0,1,Malaysia: 1
Intcore,intcore.ae,1,0,1,Egypt: 1
Living In Interiors,livingin.com,1,0,1,Egypt: 1
Elektrobit,elektrobit.com,1,0,1,Germany: 1
The Origin,theorigin.in,1,0,1,India: 1
Cogna Educação,cogna.com.br,1,0,1,Brazil: 1
Kissflow,kissflow.com,1,0,1,India: 1
YDUQS,yduqs.com.br,1,0,1,Brazil: 1
evlos4u,evlos4u.com,1,0,1,Brazil: 1
AiSupremacy,ai-supremacy.com,1,0,1,Taiwan: 1
Moniepoint Group,moniepoint.com,1,0,1,United Kingdom: 1
DP World,dpworld.com,1,0,1,India: 1
LHH,lhh.com,1,0,1,Peru: 1
3C Consultores en Cultura Corporativa,3ccultura.com,1,0,1,Peru: 1
TMS Agency,tms-agency.net,1,0,1,Egypt: 1
MiniMBA,minimba.com,1,0,1,Australia: 1
Next Badge,nextbadge.com,1,0,1,Canada: 1
Delhivery,delhivery.com,1,0,1,India: 1
شركة سليمان الراجحي العقارية,alrajhiinvestments.com,1,0,1,Egypt: 1
Maildoso,short.gy,1,0,1,India: 1
BillQode,billqode.com,1,0,1,Egypt: 1
Studyhobby,studyhobby.com,1,0,1,India: 1
Baroness Michelle Mone OBE,parliament.uk,1,0,1,United Kingdom: 1
Innowo,innowotrade.com,1,0,1,Oman: 1
Vantage,vantagemarkets.com,1,0,1,دبي الإمارات العربية المتحدة: 1
AB GrowthTM,abgrowthltatam.com,1,0,1,Argentina: 1
Raymond Limited,raymond.in,1,0,1,India: 1
