domain,name,matched_segment,confidence,country,employees
linkable.link,,SOCIAL_COMMERCE,0.95,,
live2.ai,,SOCIAL_COMMERCE,0.95,,
livebuy.io,,SOCIAL_COMMERCE,0.95,,
livewan.com,,SOCIAL_COMMERCE,0.95,,
lyvecom.com,LYVECOM - A TON Strategy Company,SOCIAL_COMMERCE,0.95,,
madeinlive.fr,,SOCIAL_COMMERCE,0.95,,
mimo.com.br,,SOCIAL_COMMERCE,0.95,,
myclique.shop,,SOCIAL_COMMERCE,0.95,,
ouishopp.com,,SOCIAL_COMMERCE,0.95,,
raqk.co,,SOCIAL_COMMERCE,0.95,,
reelup.io,,SOCIAL_COMMERCE,0.95,,
seeen.com,,SOCIAL_COMMERCE,0.95,,
shopclips.app,,SOCIAL_COMMERCE,0.95,,
shopreel.ai,,SOCIAL_COMMERCE,0.95,,
streamagency.com,,SOCIAL_COMMERCE,0.95,,
streamerce.live,,SOCIAL_COMMERCE,0.95,,
streamplaza.com,,SOCIAL_COMMERCE,0.95,,
streamshop.com.br,,SOCIAL_COMMERCE,0.95,,
swipeup.app,,SOCIAL_COMMERCE,0.95,,
theartofliveselling.com,,SOCIAL_COMMERCE,0.95,,
tipsnaps.com,,SOCIAL_COMMERCE,0.95,,
topdrwr.io,,SOCIAL_COMMERCE,0.95,,
trendio.ai,,SOCIAL_COMMERCE,0.95,,
veels.pro,,SOCIAL_COMMERCE,0.95,,
veyra.co.in,Veyra,SOCIAL_COMMERCE,0.95,,
videopoint.ai,,SOCIAL_COMMERCE,0.95,,
vidvi.com,Vidvi,SOCIAL_COMMERCE,0.95,,
weedeo.co,,SOCIAL_COMMERCE,0.95,,
widde.io,,SOCIAL_COMMERCE,0.95,,
yourshoppingstream.com,,SOCIAL_COMMERCE,0.95,,
yourshoppingstream.com,,SOCIAL_COMMERCE,0.95,,
zellor.com,,SOCIAL_COMMERCE,0.95,,
alive.app.br,,SOCIAL_COMMERCE,0.93,,
basketstudios.com,,SOCIAL_COMMERCE,0.93,,
livesel.com,,SOCIAL_COMMERCE,0.93,,
vrupi.com,vrupi,SOCIAL_COMMERCE,0.93,,
afrovivo-waitlist.vercel.app,,SOCIAL_COMMERCE,0.92,,
arvia.tech,,SOCIAL_COMMERCE,0.92,,
emcee.com,,SOCIAL_COMMERCE,0.92,,
glamourbae.com,,SOCIAL_COMMERCE,0.92,,
kerv.ai,,SOCIAL_COMMERCE,0.92,,
mshop.live,,SOCIAL_COMMERCE,0.92,,
shopsense.ai,,SOCIAL_COMMERCE,0.92,,
shopzlive.io,,SOCIAL_COMMERCE,0.92,,
wasal.com,,SOCIAL_COMMERCE,0.92,,
123on.com,,SOCIAL_COMMERCE,0.9,,
addlist.app,,SOCIAL_COMMERCE,0.9,,
apptile.com,,SOCIAL_COMMERCE,0.9,,
artrela.tv,,SOCIAL_COMMERCE,0.9,,
basketful.co,,SOCIAL_COMMERCE,0.9,,
fortitudegroup.it,,SOCIAL_COMMERCE,0.9,,
genpark.ai,,SOCIAL_COMMERCE,0.9,,
genpark.ai,,SOCIAL_COMMERCE,0.9,,
gizmott.com,,SOCIAL_COMMERCE,0.9,,
goodpix.co,,SOCIAL_COMMERCE,0.9,,
linkfluencer.io,,SOCIAL_COMMERCE,0.9,,
makeitshoppable.com,,SOCIAL_COMMERCE,0.9,,
nws.ai,,SOCIAL_COMMERCE,0.9,,
shoparonline.com,,SOCIAL_COMMERCE,0.9,,
silvr.ai,,SOCIAL_COMMERCE,0.9,,
smartcommerce.com,,SOCIAL_COMMERCE,0.9,,
spree.city,,SOCIAL_COMMERCE,0.9,,
stream.jio,,SOCIAL_COMMERCE,0.9,,
zaply.io,,SOCIAL_COMMERCE,0.9,,
adxeed.com,,SOCIAL_COMMERCE,0.88,,
cataloghub.in,,SOCIAL_COMMERCE,0.88,,
sidechef.com,,SOCIAL_COMMERCE,0.88,,
storyly.io,,SOCIAL_COMMERCE,0.88,,
bloop.eu,,SOCIAL_COMMERCE,0.85,,
curatedby.you,,SOCIAL_COMMERCE,0.85,,
trulyfree.com,,SOCIAL_COMMERCE,0.85,,
liveryvideo.com,,SOCIAL_COMMERCE,0.75,,
