name,domain,matched_segment
CIPIO.ai,cipio.ai,INFLUENCER_PLATFORMS
CleverGroup Corp,clevergroup.vn,INFLUENCER_PLATFORMS
Click2Commission,click2commission.com,INFLUENCER_PLATFORMS
Clip,useclip.com,INFLUENCER_PLATFORMS
Clipster,clipster.gg,INFLUENCER_PLATFORMS
CLKS Digital,clksdigital.com,INFLUENCER_PLATFORMS
Clout Scout,cloutscout.io,INFLUENCER_PLATFORMS
Colegram.io,colegram.io,INFLUENCER_PLATFORMS
Collab With TRUST,welovetrust.com,INFLUENCER_PLATFORMS
Conex.id,conex.id,INFLUENCER_PLATFORMS
Cre8r.ai,cre8r.ai,INFLUENCER_PLATFORMS
Creatively Squared,creativelysquared.com,INFLUENCER_PLATFORMS
Creator Hunts,creatorhunts.com,INFLUENCER_PLATFORMS
Crivey Ai,crivey.com,INFLUENCER_PLATFORMS
CUE,stagwellmarketingcloud.com,INFLUENCER_PLATFORMS
CULT CREATIVE,cultcreativeasia.com,INFLUENCER_PLATFORMS
CultureX,culturex.ai,INFLUENCER_PLATFORMS
Data on Steroids,dataonsteroids.com,INFLUENCER_PLATFORMS
Della Nesta,znap.link,INFLUENCER_PLATFORMS
DisInt.ai,disint.ai,INFLUENCER_PLATFORMS
earnon,earnon.ai,INFLUENCER_PLATFORMS
Easygo,easygo.io,INFLUENCER_PLATFORMS
ELECTRIC,likeshop.me,INFLUENCER_PLATFORMS
Element Human,elementhuman.com,INFLUENCER_PLATFORMS
Elife,elife.com.br,INFLUENCER_PLATFORMS
Endlss,getendlss.com,INFLUENCER_PLATFORMS
Evolusen,evolusen.com,INFLUENCER_PLATFORMS
Fabulate,fabulate.com.au,INFLUENCER_PLATFORMS
FAMOSOS.COM,famosos.com,INFLUENCER_PLATFORMS
Faved,faved.com,INFLUENCER_PLATFORMS
Favored,favored.live,INFLUENCER_PLATFORMS
Flicron,flicron.com,INFLUENCER_PLATFORMS
Flinque,flinque.com,INFLUENCER_PLATFORMS
FLUVIP - Influencer Marketing Leader,fluvip.com,INFLUENCER_PLATFORMS
flynt.social,flynt.social,INFLUENCER_PLATFORMS
Following,following.ae,INFLUENCER_PLATFORMS
Forefront,forefrontatl.com,INFLUENCER_PLATFORMS
FYPM (F*** You Pay Me),fypm.vip,INFLUENCER_PLATFORMS
Gamesight,gamesight.io,INFLUENCER_PLATFORMS
Geni Platform,geni.mn,INFLUENCER_PLATFORMS
GMED,tr.ee,INFLUENCER_PLATFORMS
goadgo,goadgo.app,INFLUENCER_PLATFORMS
GoInsiders,goinsiders.com.br,INFLUENCER_PLATFORMS
GrandeApp,grandeapp.com,INFLUENCER_PLATFORMS
growi,growi.io,INFLUENCER_PLATFORMS
HEMBLEM,hemblem.app,INFLUENCER_PLATFORMS
hicari,hicari.io,INFLUENCER_PLATFORMS
Hype,hype.co,INFLUENCER_PLATFORMS
Hypefy,hypefy.ai,INFLUENCER_PLATFORMS
Hype Society,hypesociety.com,INFLUENCER_PLATFORMS
icollabsindia,icollabs.com,INFLUENCER_PLATFORMS
IGoTrend,igotrend.com,INFLUENCER_PLATFORMS
Inbazz,inbazz.com.br,INFLUENCER_PLATFORMS
Infleux,infleux.co,INFLUENCER_PLATFORMS
Influbalance,influbalance.com,INFLUENCER_PLATFORMS
Influee,influee.co,INFLUENCER_PLATFORMS
InfluencerDB,influencerdb.net,INFLUENCER_PLATFORMS
Influencer Impact,influencer-impact.com,INFLUENCER_PLATFORMS
influencer marketing agency,influencer-marketing-agency.com,INFLUENCER_PLATFORMS
Influence+United,influence-united.com,INFLUENCER_PLATFORMS
Influencify,influencify.io,INFLUENCER_PLATFORMS
influenconnect,influenconnect.com,INFLUENCER_PLATFORMS
Influglue,influglue.com,INFLUENCER_PLATFORMS
InsightIQ,insightiq.ai,INFLUENCER_PLATFORMS
InstaJet.io,instajet.io,INFLUENCER_PLATFORMS
IOVIA (Acquired by Creator.co),creator.co,INFLUENCER_PLATFORMS
Join Marketing,join.marketing,INFLUENCER_PLATFORMS
"Katha - Sharing Stories, Scaling Impact",katha-ads.com,INFLUENCER_PLATFORMS
Kollective - Creator Commerce Optimizer,kollective.one,INFLUENCER_PLATFORMS
KOLPlanet,kolplanet.com,INFLUENCER_PLATFORMS
Kolsquare,kolsquareteamblue.teamtailor.com,INFLUENCER_PLATFORMS
Kulture Panel,kulturepanel.com,INFLUENCER_PLATFORMS
LetsTok.AI,letstok.ai,INFLUENCER_PLATFORMS
Lightricks,lightricks.com,INFLUENCER_PLATFORMS
Limelight,limelighthq.com,INFLUENCER_PLATFORMS
LinkPizza - Content & Influencer Marketplace,linkpizza.com,INFLUENCER_PLATFORMS
Livemercial: The NEW AS Seen ON TV!,livemercial.com,INFLUENCER_PLATFORMS
Livespins,livespins.com,INFLUENCER_PLATFORMS
Livewire,livewire.group,INFLUENCER_PLATFORMS
LocalAway,localaway.com,INFLUENCER_PLATFORMS
Lolly.com,lolly.com,INFLUENCER_PLATFORMS
Marketing Weekly,campsite.bio,INFLUENCER_PLATFORMS
Marvalero,marvalero.com,INFLUENCER_PLATFORMS
Mediacube,mediacube.io,INFLUENCER_PLATFORMS
MediaMixer,mediamixer.io,INFLUENCER_PLATFORMS
Metapic,metapic.com,INFLUENCER_PLATFORMS
mikz alliance,mikzalliance.com,INFLUENCER_PLATFORMS
Mimoni,mimoni.com,INFLUENCER_PLATFORMS
Minflu,minflu.com,INFLUENCER_PLATFORMS
MOCAPP,mocapp.net,INFLUENCER_PLATFORMS
MOGL,mogl.online,INFLUENCER_PLATFORMS
Moonio,moonio.io,INFLUENCER_PLATFORMS
MuseFind,musefind.com,INFLUENCER_PLATFORMS
Mustard,mustard.love,INFLUENCER_PLATFORMS
NanoInflu,nanoinflu.com,INFLUENCER_PLATFORMS
nativehash,nativehash.io,INFLUENCER_PLATFORMS
NewRich Network,newrich.com,INFLUENCER_PLATFORMS
Nocage(formerly BridgeIn),nocage.in,INFLUENCER_PLATFORMS
nooon,nooon.life,INFLUENCER_PLATFORMS
Onalytica,onalytica.com,INFLUENCER_PLATFORMS
One Impression,famous.club,INFLUENCER_PLATFORMS
OTA Network,ota.network,INFLUENCER_PLATFORMS
PalUp,palup.ai,INFLUENCER_PLATFORMS
PANEL,panelforcreators.com,INFLUENCER_PLATFORMS
PARKLU by Launchmetrics,parklu.com,INFLUENCER_PLATFORMS
Pattern,pattern.com,INFLUENCER_PLATFORMS
Pendulum,pendulumintel.com,INFLUENCER_PLATFORMS
PickMyAd,pickmyad.com,INFLUENCER_PLATFORMS
Piltwave Media,piltwave.com,INFLUENCER_PLATFORMS
Pimbell,pimbell.com,INFLUENCER_PLATFORMS
PlayNest,playnest.com.br,INFLUENCER_PLATFORMS
Podcast Facteurs Humains,acast.com,INFLUENCER_PLATFORMS
Polele,polele.co,INFLUENCER_PLATFORMS
PopFabLab,popfablab.com,INFLUENCER_PLATFORMS
PopStar,pop-star.me,INFLUENCER_PLATFORMS
Poptrek,poptrek.com,INFLUENCER_PLATFORMS
Popular Pays,popularpays.com,INFLUENCER_PLATFORMS
"PowerReviews, by Syndigo",powerreviews.com,INFLUENCER_PLATFORMS
PRophet North America,prprophet.ai,INFLUENCER_PLATFORMS
Publifyer,publifyer.com,INFLUENCER_PLATFORMS
PULR,pulr.co,INFLUENCER_PLATFORMS
Qoruz,terareach.com,INFLUENCER_PLATFORMS
Ramdam,ramd.am,INFLUENCER_PLATFORMS
Rasooc,rasooc.com,INFLUENCER_PLATFORMS
refluenced,refluenced.de,INFLUENCER_PLATFORMS
RHEI,rhei.com,INFLUENCER_PLATFORMS
Rizer Social AI,rizersocial.io,INFLUENCER_PLATFORMS
Roeme,getroeme.com,INFLUENCER_PLATFORMS
ROI Influencer,roiinfluencer.com,INFLUENCER_PLATFORMS
RuBaRu,rubaru.app,INFLUENCER_PLATFORMS
Scalefluence,scalefluence.com,INFLUENCER_PLATFORMS
Shoplooks,shoplooks.com,INFLUENCER_PLATFORMS
Sideshift,sideshift.app,INFLUENCER_PLATFORMS
Sila Influence,silainfluence.com,INFLUENCER_PLATFORMS
Silly Monks Entertainment Ltd.,sillymonks.com,INFLUENCER_PLATFORMS
Slice Group,slice.id,INFLUENCER_PLATFORMS
Social Cat,thesocialcat.com,INFLUENCER_PLATFORMS
Socialpruf,socialpruf.com,INFLUENCER_PLATFORMS
Sociata,sociata.com,INFLUENCER_PLATFORMS
SocioCreator,sociocreator.com,INFLUENCER_PLATFORMS
SparkFly Media,sparkfly.net,INFLUENCER_PLATFORMS
Sphere,sphereinfluencer.com,INFLUENCER_PLATFORMS
Sponsogram,sponsogram.in,INFLUENCER_PLATFORMS
Starbuzz.ai,starbuzz.ai,INFLUENCER_PLATFORMS
Starry,starrykol.com,INFLUENCER_PLATFORMS
Storyclash,storyclash.com,INFLUENCER_PLATFORMS
StoryTap,storytap.com,INFLUENCER_PLATFORMS
StreamElements,streamelements.com,INFLUENCER_PLATFORMS
Streamloots,streamloots.com,INFLUENCER_PLATFORMS
Swavy,swavy.com,INFLUENCER_PLATFORMS
TAGby,tagby.io,INFLUENCER_PLATFORMS
TAWA Digital Talents,tawa.digital,INFLUENCER_PLATFORMS
Tellscore,tellscore.com,INFLUENCER_PLATFORMS
teufels,wonderl.ink,INFLUENCER_PLATFORMS
The Collabers,thecollabers.com,INFLUENCER_PLATFORMS
The Lobby,fromthelobby.com,INFLUENCER_PLATFORMS
The Q Club,theqclub.es,INFLUENCER_PLATFORMS
The Secret Society,the-secret-society.com,INFLUENCER_PLATFORMS
Twiva,twiva.com,INFLUENCER_PLATFORMS
tychon,tychon.app,INFLUENCER_PLATFORMS
ugc creators,ugccreators.es,INFLUENCER_PLATFORMS
UGC LATAM,ugclatam.io,INFLUENCER_PLATFORMS
vHub.ai,vhub.ai,INFLUENCER_PLATFORMS
ViralPlace,viralplace.io,INFLUENCER_PLATFORMS
Virtual Publicist,virtualpublicist.com,INFLUENCER_PLATFORMS
VRinfluence.ai,vrinfluence.ai,INFLUENCER_PLATFORMS
Vynture,usevynture.com,INFLUENCER_PLATFORMS
Whalar Group,whalargroup.com,INFLUENCER_PLATFORMS
Wooskill,wooskill.com,INFLUENCER_PLATFORMS
Xley AI,xley.ai,INFLUENCER_PLATFORMS
Yada Influencer,yadainfluencer.com,INFLUENCER_PLATFORMS
Yallad,yallad.com,INFLUENCER_PLATFORMS
YCreator,ycreator.carrd.co,INFLUENCER_PLATFORMS
Yimb.nl,yimb.nl,INFLUENCER_PLATFORMS
Youdji,youdji.com,INFLUENCER_PLATFORMS
YouNet Media,younetmedia.com,INFLUENCER_PLATFORMS
youzz,youzz.net,INFLUENCER_PLATFORMS
ZoolaraAds,zoolaraads.com,INFLUENCER_PLATFORMS
